"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","depth_100","bulk_density","cf","cconc","ccontent_1m","slope","cconc_y","horizon_simple","cf_1_values","ccontent","carbon_stock","carbon_stock_1M"
"11","Calvert Island - total C - additional pedons (2014-2016)","BC14-05","Placic Humic Podzol",51.644361,-128.145306,"HIGH","BCg2",-165,-140,25,65,1.71,0,0.0758597904850656,0,0.00303439161940262,0.0379298952425328,"B",0,324.300604323655,3.24300604323655,0
"12","Calvert Island - total C - additional pedons (2014-2016)","BC14-06","Orthic Humic Podzol",51.644722,-128.145194,"HIGH","Fm",33,40,7,7,0.11,0,54.03577765173,4160.75487918321,7.71939680739,27.017888825865,"F",0,4160.75487918321,41.6075487918321,3203.78125697107
"13","Calvert Island - total C - additional pedons (2014-2016)","BC14-06","Orthic Humic Podzol",51.644722,-128.145194,"HIGH","Om1",13,33,20,20,0.12,0,60.6282759975461,14550.7862394111,3.0314137998773,30.314137998773,"O",0,14550.7862394111,145.507862394111,34921.8869745865
"14","Calvert Island - total C - additional pedons (2014-2016)","BC14-06","Orthic Humic Podzol",51.644722,-128.145194,"HIGH","Om2",0,13,13,13,0.12,0,40.9592283998932,6389.63963038334,3.15070987691486,20.4796141999466,"O",0,6389.63963038334,63.8963963038334,9967.83782339801
"15","Calvert Island - total C - additional pedons (2014-2016)","BC14-06","Orthic Humic Podzol",51.644722,-128.145194,"HIGH","Bhf",-10,0,10,10,0.86,0,10.9918825220553,9453.01896896756,1.09918825220553,5.49594126102765,"B",0,9453.01896896756,94.5301896896756,81295.963133121
"16","Calvert Island - total C - additional pedons (2014-2016)","BC14-06","Orthic Humic Podzol",51.644722,-128.145194,"HIGH","Bhcj",-30,-10,20,20,0.86,0,1.56301393432025,2688.38396703083,0.0781506967160125,0.781506967160125,"B",0,2688.38396703083,26.8838396703083,46240.2042329303
"17","Calvert Island - total C - additional pedons (2014-2016)","BC14-06","Orthic Humic Podzol",51.644722,-128.145194,"HIGH","BC",-50,-30,20,20,1.71,0,0.391123936474205,1337.64386274178,0.0195561968237103,0.195561968237103,"B",0,1337.64386274178,13.3764386274178,45747.4201057689
"18","Calvert Island - total C - additional pedons (2014-2016)","BC14-07","Humic Folisol",51.644833,-128.145,"HIGH","Fm",60,73,13,13,0.11,0,56.0496461326573,8015.09939696999,4.31151124097364,28.0248230663287,"F",0,8015.09939696999,80.1509939696999,11461.5921376671
"19","Calvert Island - total C - additional pedons (2014-2016)","BC14-07","Humic Folisol",51.644833,-128.145,"HIGH","Hh1",40,60,20,20,0.11,0,57.8339577883458,12723.4707134361,2.89169788941729,28.9169788941729,"H",0,12723.4707134361,127.234707134361,27991.6355695594
"20","Calvert Island - total C - additional pedons (2014-2016)","BC14-07","Humic Folisol",51.644833,-128.145,"HIGH","Hh2",34,40,6,6,0.11,0,60.3909140361106,3985.8003263833,10.0651523393518,30.1954570180553,"H",0,3985.8003263833,39.858003263833,2630.62821541298
"21","Calvert Island - total C - additional pedons (2014-2016)","BC14-07","Humic Folisol",51.644833,-128.145,"HIGH","Hh3",0,34,34,34,0.11,0,57.8482093325644,21635.2302903791,1.70141792154601,28.9241046662822,"H",0,21635.2302903791,216.352302903791,80915.7612860178
