source,id,order,lat,lon,latlon_q,elevation,slope,aspect,horizon,depth2,depth1,depth,mineral_d,ff_d,total_d,bulk_density,cf,cconc,ccontent,total_c,ccontent_1m,total_c_1m
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.13333333,LOW,30,12.5,NE,Oa,8,0,8,NA,NA,NA,0.11,NA,47.3,4162.3999999999996,NA,4162.3999999999996,NA
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.13333333,LOW,30,12.5,NE,E,0,-3,3,NA,NA,NA,0.93,NA,4.7,1311.3000000000002,NA,1311.3000000000002,NA
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.13333333,LOW,30,12.5,NE,Bhs1,-3,-10,7,NA,NA,NA,1.71,NA,12.4,14842.800000000001,NA,14842.800000000001,NA
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.13333333,LOW,30,12.5,NE,Bhs2,-10,-35,25,NA,NA,NA,1.71,NA,8.5,36337.5,NA,36337.5,NA
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.13333333,LOW,30,12.5,NE,Bhs3,-35,-51,16,NA,NA,NA,1.71,NA,13.9,38030.400000000001,NA,38030.400000000001,NA
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.98333333,LOW,170,27.5,N,Oa,11,6,5,68,11,79,0.11,NA,49.8,2739,86991.9,2739,869.919
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.98333333,LOW,170,27.5,N,Oa,6,0,6,NA,NA,NA,0.11,NA,46.7,3082.2000000000003,NA,3082.2000000000003,NA
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.98333333,LOW,170,27.5,N,E,0,-2,2,NA,NA,NA,0.93,NA,5.5,1023,NA,1023,NA
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.98333333,LOW,170,27.5,N,Bhs2,-2,-20,18,NA,NA,NA,1.71,NA,7.1,21853.8,NA,21853.8,NA
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.98333333,LOW,170,27.5,N,Bhs2,-20,-35,15,NA,NA,NA,1.71,NA,9,23084.999999999996,NA,23084.999999999996,NA
