"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","depth_100","bulk_density","cf","cconc","ccontent_1m","slope","cconc_y","horizon_simple","cf_1_values","ccontent","carbon_stock","carbon_stock_1M"
"11","Hakai DSM pedon master data file","DSM18","Gleyed Humo-Ferric Podzol",51.6098,-127.97309,"HIGH","Hhi",0,4,4,4,0.14,0,17.65757845239,988.82439333384,4.4143946130975,8.828789226195,"H",0,988.82439333384,9.8882439333384,553.74166026695
"12","Hakai DSM pedon master data file","DSM18","Gleyed Humo-Ferric Podzol",51.6098,-127.97309,"HIGH","Bf",-10,0,10,10,1.46,20,4.08669253809089,4773.25688449016,0.408669253809089,2.04334626904545,"B",20,4773.25688449016,59.665711056127,69689.5505135563
"13","Hakai DSM pedon master data file","DSM18","Gleyed Humo-Ferric Podzol",51.6098,-127.97309,"HIGH","Bfg",-23,-10,13,13,1.46,20,2.13026544405556,3234.59505025396,0.163866572619658,1.06513272202778,"B",20,3234.59505025396,40.4324381281745,61392.6140538202
"14","Hakai DSM pedon master data file","DSM18","Gleyed Humo-Ferric Podzol",51.6098,-127.97309,"HIGH","Cg",-43,-23,20,20,1.57,20,0.453944212463035,1140.30786170714,0.0226972106231518,0.226972106231518,"C",20,1140.30786170714,14.2538482713393,35805.6668576043
"15","Hakai DSM pedon master data file","DSM52","Humic Folisol",51.6571039999999,-128.015284,"HIGH","Lv",-4,0,4,4,0.11,0,52.1432835276801,2294.30447521792,13.03582088192,26.07164176384,"L",0,2294.30447521792,22.9430447521792,1009.49396909589
"16","Hakai DSM pedon master data file","DSM52","Humic Folisol",51.6571039999999,-128.015284,"HIGH","Faw",-20,-4,16,16,0.11,0,57.104770699633,10050.4396431354,3.56904816872706,28.5523853498165,"F",0,10050.4396431354,100.504396431354,17688.7737719183
"17","Hakai DSM pedon master data file","DSM52","Humic Folisol",51.6571039999999,-128.015284,"HIGH","Hh",-60,-20,40,40,0.11,0,53.8870840565024,23710.3169848611,1.34717710141256,26.9435420282512,"H",0,23710.3169848611,237.103169848611,104325.394733389
"18","Hakai DSM pedon master data file","DSM52","Humic Folisol",51.6571039999999,-128.015284,"HIGH","Hhi",-90,-60,30,30,0.11,0,20.2873050489733,6694.81066616119,0.676243501632443,10.1436525244866,"H",0,6694.81066616119,66.9481066616119,22092.8751983319
"19","Hakai DSM pedon master data file","DSM52","Humic Folisol",51.6571039999999,-128.015284,"HIGH","Bh",-140,-90,50,50,0.86,10,7.53255329689244,5830.19625179475,0.150651065937849,3.76627664844622,"B",10,29150.9812589737,323.899791766375,250698.438827174
"20","Hakai DSM pedon master data file","DSM54","Humic Folisol",51.658914,-128.07333,"HIGH","Lv",-2,0,2,2,0.11,0,56.1749176006398,1235.84818721408,28.0874588003199,28.0874588003199,"L",0,1235.84818721408,12.3584818721408,271.886601187097
"21","Hakai DSM pedon master data file","DSM54","Humic Folisol",51.658914,-128.07333,"HIGH","Fm",-5,-2,3,3,0.11,0,56.259436365591,1856.5614000645,18.753145455197,28.1297181827955,"F",0,1856.5614000645,18.565614000645,612.665262021286
"22","Hakai DSM pedon master data file","DSM54","Humic Folisol",51.658914,-128.07333,"HIGH","Hh1",-65,-5,60,60,0.11,0,59.1535312359471,39041.3306157251,0.985892187265785,29.5767656179735,"H",0,39041.3306157251,390.413306157251,257672.782063786
"23","Hakai DSM pedon master data file","DSM54","Humic Folisol",51.658914,-128.07333,"HIGH","Hh2",-100,-65,35,35,0.11,0,58.6932510838779,22596.901667293,1.67695003096794,29.3466255419389,"H",0,22596.901667293,225.96901667293,86998.071419078
"24","Hakai DSM pedon master data file","DSM54","Humic Folisol",51.658914,-128.07333,"HIGH","Hh3",-110,-100,10,10,0.11,0,59.8101264021732,0,5.98101264021732,29.9050632010866,"H",0,6579.11390423905,65.7911390423905,0
